,date,value
0,1971-01-01,82399903700.0
1,1972-01-01,71799996400.0
2,1973-01-01,77999996900.0
3,1974-01-01,96999997400.0
4,1975-01-01,106499997700.0
5,1976-01-01,115000000500.0
6,1977-01-01,132900003800.0
7,1978-01-01,148500004900.0
8,1979-01-01,161599995900.0
9,1980-01-01,160599998500.0
10,1981-01-01,172200001500.0
11,2002-01-01,182162721300.0
12,2003-01-01,221358563000.0
13,2004-01-01,249791940700.0
14,2005-01-01,308163225800.0
15,2006-01-01,348048404600.0
16,2007-01-01,485419056200.0
17,2008-01-01,515046858600.0
18,2009-01-01,611692107000.0
19,2010-01-01,726231122700.0
20,2011-01-01,850347275400.0
21,2012-01-01,1028794220100.0
22,2013-01-01,1138809791300.0
23,2014-01-01,1176469485800.0
24,2015-01-01,1222756495400.0
25,2016-01-01,1222916881100.0
26,2017-01-01,1285460326500.0
27,2018-01-01,1327690394700.0
28,2019-01-01,1469596303300.0
29,2020-01-01,1547289027600.0
30,2021-12-31,1656408718698.7441
31,2022-12-31,1750147545993.0222
32,2023-12-31,1851414015801.658
33,2024-12-31,1948996336101.8955
34,2025-12-31,2048381738519.0566
35,2026-12-31,2146884683502.5662
36,2027-12-31,2245819517369.5034
37,2028-12-31,2344542977859.646
38,2029-12-31,2443369887885.38
39,2030-12-31,2542146168041.9395
